Date,close,high,low,open,volume,ema_10,ema_20,ema_30,ema_50,ema_100,ema_200,macd,macd_signal,macd_diff,rsi,stoch_k,stoch_d,bb_high,bb_low,bb_mid,bb_width,atr,obv,returns_1d,returns_5d,target
2018-10-16,56.38442611694336,56.548144571317,55.32300296456605,55.40908964575526,38378000,56.51319110615037,57.520620777703606,58.12062303091892,58.63013001179009,58.320943450653495,57.0997430030506,-1.1519917449202026,-0.8431294280577263,-0.30886231686247634,42.10495203299116,38.47808118657235,28.794096508232112,61.939292223086674,54.16840087688892,58.053846549987796,0.13385661429870216,1.393832233114289,-64522000,0.027792847663183462,-0.010557448941503789,-0.0048451241502596165
2018-10-17,56.111236572265625,57.0771158871371,55.4349691900082,56.728782774682955,35652000,56.44010846362587,57.38639371051904,57.99098519487678,58.53134987690677,58.27718687880423,57.08990711816716,-1.1187372849399253,-0.8982509994341661,-0.22048628550575922,40.99066127679347,34.78440458417031,30.375219439150253,61.90866553722531,53.966738057745395,57.93770179748535,0.1370770195069183,1.4115689805439042,-100174000,-0.0048451241502596165,0.0324403411374079,-0.02632164687953631
2018-10-18,54.63429641723633,56.348102918423116,54.05855019005367,56.23116170319278,46152000,56.11177900064595,57.12428920639688,57.7744246285774,58.37852425103734,58.205050434020706,57.06547318084447,-1.1977526658700768,-0.9581513327213482,-0.23960133314872856,35.518013188281316,14.815341345622507,29.35927570545506,61.87184348586371,53.537488408057186,57.704665946960446,0.14443121610767296,1.4742821053885855,-146326000,-0.02632164687953631,0.00657355743439525,0.006621676375586638
2018-10-19,54.99606704711914,55.78081695968578,54.590508583879455,54.92291898994757,41286000,55.90892228182289,56.921601381703766,57.59517575235429,58.24587887049153,58.14150620853751,57.044882075036256,-1.2171505047748923,-1.0099511671320571,-0.20719933764283516,37.71169776847392,19.706684140643105,23.10214335681198,61.85600729901186,53.22021760028013,57.53811244964599,0.1500881647149838,1.4539982675612813,-105040000,0.006621676375586638,-0.013707633381557116,0.00560086160058515
2018-10-22,55.30409240722656,55.81763600263257,54.73829694879827,55.3608203980192,27116000,55.79895321371446,56.76755290794404,57.447363923636374,58.130514695461535,58.08531979663036,57.027560784809296,-1.1939057571871956,-1.0467420851430849,-0.14716367204411074,39.59595270746467,25.656244847445407,20.059423444570346,61.75689518970135,52.98000170666096,57.368448448181155,0.15299164820481848,1.427236895152211,-77924000,0.00560086160058515,0.008100188955734167,0.0031852779308294554
2018-10-23,55.48025131225586,55.63401902781625,53.693794075045105,54.30487097064873,37686000,55.74100741344926,56.64495275597374,57.32045343257957,58.02658279808092,58.03373428208829,57.012164670654535,-1.1480357345200005,-1.067000815018468,-0.08103491950153252,40.70075644200025,30.013102054890048,25.12534368099286,61.52889773693052,52.81497852954898,57.17193813323975,0.15241601897549223,1.463878899267849,-40238000,0.0031852779308294554,-0.016035896203185795,-0.05183385514735994
2018-10-24,52.604496002197266,55.565342433831944,52.50198546594668,55.4847265778731,49286000,55.17073261140344,56.26014735085217,57.01619811449039,57.81395194334039,57.926224613179556,56.968307270968396,-1.3284196362581326,-1.119284579266401,-0.20913505699173163,30.797697649740527,1.6228232869052448,19.097390063080237,61.48752981243603,52.17490381183155,56.83121681213379,0.16386462446139607,1.5781273327405214,-89524000,-0.05183385514735994,-0.06249622685737877,0.04395917810597316
2018-10-25,54.91694641113281,55.625059232611754,53.52161695866587,53.757986130863586,72956000,55.124589665899684,56.13222345183128,56.88076252072539,57.70034388325382,57.866634945812294,56.947895720124265,-1.270138391194763,-1.1494553416520734,-0.1206830495426896,42.84125401716109,40.17392562808704,23.936616989960783,61.04913899851495,52.096913552754586,56.57302627563477,0.15824194028693783,1.6811584682886618,-16568000,0.04395917810597316,0.005173490141392456,-0.01797772570829359
2018-10-26,53.929664611816406,55.58425257263776,51.86354243871836,52.16709148904605,106438000,54.90733056515727,55.92245594325844,56.69036910724739,57.552474107903336,57.78867513721831,56.91786356979284,-1.288759457928812,-1.1773161649074213,-0.11144329302139067,39.667167351257774,34.797177087571214,25.53130866752117,60.58068819614367,51.951648229637584,56.266168212890626,0.15336107363588275,1.8268407301194285,-123006000,-0.01797772570829359,-0.019390521769294344,-0.045231782673654686
2018-10-29,51.49032974243164,55.177702617771615,50.12038015642591,54.56612455732258,81290000,54.28605768829806,55.50034868603684,56.354882696614126,57.31474295631621,57.66395542643046,56.86385825807781,-1.4832527110995315,-1.2385034741458434,-0.2447492369536881,33.13498423572757,19.69241953460953,31.554507416755936,60.24158077376025,51.42589130265577,55.83373603820801,0.15789180693679078,2.0575894252070195,-204296000,-0.045231782673654686,-0.06895986352533612,0.01428379758274656
