Date,price,signal,position,market_return,strategy_return,position_change,commission_cost,strategy_return_after_cost,cumulative_market_return,cumulative_strategy_return,strategy_value
2022-04-19,129.39039611816406,0.0,0.0,,,0.0,0.0,,,,
2022-04-20,127.43075561523438,-1.0,-1.0,-0.015145177398947496,-0.0,1.0,0.001,-0.0010000000474974513,-0.015145177398947496,-0.0010000000474974513,9989.999999525025
2022-04-21,124.2206039428711,0.0,0.0,-0.025191341421972324,0.025191341421972324,1.0,0.001,0.024191341374474873,-0.03995499148616655,0.023167149984454127,10231.67149984454
2022-04-22,119.06624603271484,-1.0,-1.0,-0.0414935827596421,-0.0,1.0,0.001,-0.0010000000474974513,-0.0797906984999166,0.02214398278587182,10221.439827858718
2022-04-25,122.48838806152344,1.0,1.0,0.028741495955691088,-0.028741495955691088,2.0,0.002,-0.03074149605068599,-0.053342506582462645,-0.009278252424172462,9907.217475758276
2022-04-26,118.08544158935548,0.0,0.0,-0.03594582753392461,-0.03594582753392461,1.0,0.001,-0.036945827581422064,-0.08737089357454686,-0.045881287291274164,9541.187127087258
2022-04-27,113.75066375732422,1.0,1.0,-0.03670882518359497,-0.0,1.0,0.001,-0.0010000000474974513,-0.12087243589977936,-0.04683540604930114,9531.645939506989
2022-04-28,117.95854949951172,0.0,0.0,0.03699218627123457,0.03699218627123457,1.0,0.001,0.03599218622373712,-0.08835158529240728,-0.01252892848195486,9874.710715180452
2022-04-29,113.56654357910156,-1.0,-1.0,-0.037233468358546906,-0.0,1.0,0.001,-0.0010000000474974513,-0.12229541769554186,-0.013516399600375317,9864.836003996246
2022-05-02,116.02826690673828,0.0,0.0,0.021676483672518065,-0.021676483672518065,1.0,0.001,-0.022676483720015517,-0.10326986864792498,-0.03588637890489965,9641.136210951003
2022-05-03,116.77570343017578,1.0,1.0,0.006441848554355145,0.0,1.0,0.001,-0.0010000000474974513,-0.09749326894762789,-0.03685049257178774,9631.495074282122
2022-05-04,121.67925262451172,-1.0,-1.0,0.041991176677158126,0.041991176677158126,2.0,0.002,0.039991176582163224,-0.05959594935168333,0.001666989454797374,10016.669894547973
2022-05-05,115.9511489868164,-1.0,-1.0,-0.0470754340953391,0.0470754340953391,0.0,0.0,0.0470754340953391,-0.10386587826096805,0.048820897802353436,10488.208978023535
2022-05-06,115.19574737548828,1.0,1.0,-0.006514826441383681,0.006514826441383681,2.0,0.002,0.004514826346388778,-0.10970403653229965,0.053556142024394626,10535.561420243946
2022-05-09,111.97565460205078,1.0,1.0,-0.027953226111215645,-0.027953226111215645,0.0,0.0,-0.027953226111215645,-0.13459068090501491,0.02410584896552659,10241.058489655266
2022-05-10,113.8506851196289,1.0,1.0,0.016744983757779996,0.016744983757779996,0.0,0.0,0.016744983757779996,-0.12009941591293793,0.04125448477270188,10412.544847727018
2022-05-11,113.06195068359376,1.0,1.0,-0.006927797010675696,-0.006927797010675696,0.0,0.0,-0.006927797010675696,-0.12619518854906808,0.03404088506574099,10340.40885065741
2022-05-12,112.30706787109376,1.0,1.0,-0.0066767184533420565,-0.0066767184533420565,0.0,0.0,-0.0066767184533420565,-0.13202933725830157,0.027136885206912487,10271.368852069125
2022-05-13,115.4983139038086,-1.0,-1.0,0.028415362391775334,0.028415362391775334,2.0,0.002,0.02641536229678043,-0.10736563633106677,0.05426907815803972,10542.690781580397
2022-05-16,113.90044403076172,1.0,1.0,-0.01383457315556691,0.01383457315556691,2.0,0.002,0.011834573060572007,-0.1197148517364175,0.06674590258900293,10667.45902589003
2022-05-17,115.91879272460938,1.0,1.0,0.017720288195738343,0.017720288195738343,0.0,0.0,0.017720288195738343,-0.10411594521475853,0.08564894741450302,10856.48947414503
2022-05-18,111.36705780029295,0.0,0.0,-0.03926658324617016,-0.03926658324617016,1.0,0.001,-0.04026658329366761,-0.13929425103089965,0.04193357364575445,10419.335736457544
2022-05-19,109.85877227783205,1.0,1.0,-0.013543372270511278,-0.0,1.0,0.001,-0.0010000000474974513,-0.15095110940455736,0.04089164002261958,10408.916400226195
2022-05-20,108.3897933959961,1.0,1.0,-0.013371521011730558,-0.013371521011730558,0.0,0.0,-0.013371521011730558,-0.16230418448514083,0.02697333558712245,10269.733355871225
